Country,Measure,Frequency,Transaction,Time,Value,Flags
"Portugal","National currency, current prices, millions","Annual","Gross capital formation","2012",27492.5,
"Portugal","National currency, current prices, millions","Annual","Gross capital formation","2013",25372.2,
"Portugal","National currency, current prices, millions","Annual","Gross fixed capital formation","2012",26472.5,
"Portugal","National currency, current prices, millions","Annual","Gross fixed capital formation","2013",24528.8,
"Portugal","National currency, current prices, millions","Annual","Changes in inventories and acquisitions less disposals of valuables","2012",1020,
"Portugal","National currency, current prices, millions","Annual","Changes in inventories and acquisitions less disposals of valuables","2013",843.4,
"Portugal","National currency, current prices, millions","Annual","Exports of goods and services","2012",63882.1,
"Portugal","National currency, current prices, millions","Annual","Exports of goods and services","2013",67343.4,
"Portugal","National currency, current prices, millions","Annual","Exports of goods","2012",47674.1,
"Portugal","National currency, current prices, millions","Annual","Exports of goods","2013",49975,
"Portugal","National currency, current prices, millions","Annual","Exports of services","2012",16208,
"Portugal","National currency, current prices, millions","Annual","Exports of services","2013",17368.4,
"Portugal","National currency, current prices, millions","Annual","Imports of goods and services","2012",64880.4,
"Portugal","National currency, current prices, millions","Annual","Imports of goods and services","2013",65478,
"Portugal","National currency, current prices, millions","Annual","Imports of goods","2012",55352.1,
"Portugal","National currency, current prices, millions","Annual","Imports of goods","2013",55838.8,
"Portugal","National currency, current prices, millions","Annual","Imports of services","2012",9528.3,
"Portugal","National currency, current prices, millions","Annual","Imports of services","2013",9639.2,
"Portugal","National currency, current prices, millions","Annual","Gross domestic product (income approach)","2012",165107.4,
"Portugal","National currency, current prices, millions","Annual","Gross domestic product (income approach)","2013",165666.3,
"Portugal","National currency, current prices, millions","Annual","External balance of goods and services","2012",-998.3,
"Portugal","National currency, current prices, millions","Annual","External balance of goods and services","2013",1865.4,
"Portugal","National currency, current prices, millions","Annual","Gross value added at basic prices, total activity","2012",144509.7,
"Portugal","National currency, current prices, millions","Annual","Gross value added at basic prices, total activity","2013",145502.1,
"Portugal","National currency, current prices, millions","Annual","Gross operating surplus and gross mixed income","2012",65779.2,
"Portugal","National currency, current prices, millions","Annual","Gross operating surplus and gross mixed income","2013",66049.1,
"Portugal","National currency, current prices, millions","Annual","Compensation of employees","2012",79379.6,
"Portugal","National currency, current prices, millions","Annual","Compensation of employees","2013",79910.2,
"Portugal","National currency, current prices, millions","Annual","Households and Non-profit institutions serving households","2012",108493.2,
"Portugal","National currency, current prices, millions","Annual","Households and Non-profit institutions serving households","2013",107006.4,
"Portugal","National currency, current prices, millions","Annual","Dwellings","2012",4155.880426,
"Portugal","National currency, current prices, millions","Annual","Dwellings","2013",3337.313532,
"Portugal","National currency, current prices, millions","Annual","Other buildings and structures","2012",11498.119574,
"Portugal","National currency, current prices, millions","Annual","Other buildings and structures","2013",10189.986468,
"Portugal","National currency, current prices, millions","Annual","Transport equipment","2012",1487.3,
"Portugal","National currency, current prices, millions","Annual","Transport equipment","2013",1641.4,
"Portugal","National currency, current prices, millions","Annual","Other machinery and equipment","2012",6733.5,
"Portugal","National currency, current prices, millions","Annual","Other machinery and equipment","2013",6779.7,
"Portugal","National currency, current prices, millions","Annual","Cultivated assets","2012",323.4,
"Portugal","National currency, current prices, millions","Annual","Cultivated assets","2013",324.3,
"Portugal","National currency, current prices, millions","Annual","Intangible fixed assets","2012",2274.3,
"Portugal","National currency, current prices, millions","Annual","Intangible fixed assets","2013",2256.1,
"Portugal","National currency, current prices, millions","Annual","Domestic demand","2012",166105.7,
"Portugal","National currency, current prices, millions","Annual","Domestic demand","2013",163800.9,
"Portugal","National currency, current prices, millions","Annual","of which: Manufacturing (ISIC rev4)","2012",11343.3,
"Portugal","National currency, current prices, millions","Annual","of which: Manufacturing (ISIC rev4)","2013",10932.7,
"Portugal","National currency, current prices, millions","Annual","of which: Manufacturing (ISIC rev4)","2012",20376.8,
"Portugal","National currency, current prices, millions","Annual","of which: Manufacturing (ISIC rev4)","2013",20279.8,
"Portugal","National currency, current prices, millions","Annual","Agriculture, forestry and fishing (ISIC rev4)","2012",1029.9,
"Portugal","National currency, current prices, millions","Annual","Agriculture, forestry and fishing (ISIC rev4)","2013",1047.4,
"Portugal","National currency, current prices, millions","Annual","Agriculture, forestry and fishing (ISIC rev4)","2012",3343.7,
"Portugal","National currency, current prices, millions","Annual","Agriculture, forestry and fishing (ISIC rev4)","2013",3510.1,
"Portugal","National currency, current prices, millions","Annual","Industry, including energy (ISIC rev4)","2012",27005.1,
"Portugal","National currency, current prices, millions","Annual","Industry, including energy (ISIC rev4)","2013",27464.3,
"Portugal","National currency, current prices, millions","Annual","Industry, including energy (ISIC rev4)","2012",13058.7,
"Portugal","National currency, current prices, millions","Annual","Industry, including energy (ISIC rev4)","2013",12626.3,
"Portugal","National currency, current prices, millions","Annual","Construction (ISIC rev4)","2012",4913.3,
"Portugal","National currency, current prices, millions","Annual","Construction (ISIC rev4)","2013",4184.9,
"Portugal","National currency, current prices, millions","Annual","Construction (ISIC rev4)","2012",7314.7,
"Portugal","National currency, current prices, millions","Annual","Construction (ISIC rev4)","2013",6250.2,
"Portugal","National currency, current prices, millions","Annual","Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)","2012",36055.2,
"Portugal","National currency, current prices, millions","Annual","Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)","2013",36926.7,
"Portugal","National currency, current prices, millions","Annual","Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)","2012",19898.3,
"Portugal","National currency, current prices, millions","Annual","Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)","2013",20011.8,
"Portugal","National currency, current prices, millions","Annual","Information and communication (ISIC rev4)","2012",2662.6,
"Portugal","National currency, current prices, millions","Annual","Information and communication (ISIC rev4)","2013",2671.3,
"Portugal","National currency, current prices, millions","Annual","Information and communication (ISIC rev4)","2012",5407.7,
"Portugal","National currency, current prices, millions","Annual","Information and communication (ISIC rev4)","2013",5165.9,
"Portugal","National currency, current prices, millions","Annual","Financial and insurance activities (ISIC rev4)","2012",9227,
"Portugal","National currency, current prices, millions","Annual","Financial and insurance activities (ISIC rev4)","2013",8421.8,
"Portugal","National currency, current prices, millions","Annual","Financial and insurance activities (ISIC rev4)","2012",4477.4,
"Portugal","National currency, current prices, millions","Annual","Financial and insurance activities (ISIC rev4)","2013",4311.8,
"Portugal","National currency, current prices, millions","Annual","Real estate activities (ISIC rev4)","2012",480.2,
"Portugal","National currency, current prices, millions","Annual","Real estate activities (ISIC rev4)","2013",468,
"Portugal","National currency, current prices, millions","Annual","Real estate activities (ISIC rev4)","2012",14096.3,
"Portugal","National currency, current prices, millions","Annual","Real estate activities (ISIC rev4)","2013",14795.1,
"Portugal","National currency, current prices, millions","Annual","Prof., scientific, techn.; admin., support serv. activities (ISIC rev4)","2012",9670.3,
"Portugal","National currency, current prices, millions","Annual","Prof., scientific, techn.; admin., support serv. activities (ISIC rev4)","2013",9426,
"Portugal","National currency, current prices, millions","Annual","Prof., scientific, techn.; admin., support serv. activities (ISIC rev4)","2012",6012.2,
"Portugal","National currency, current prices, millions","Annual","Prof., scientific, techn.; admin., support serv. activities (ISIC rev4)","2013",6003.2,
"Portugal","National currency, current prices, millions","Annual","Public admin.; compulsory s.s.; education; human health (ISIC rev4)","2012",23475.7,
"Portugal","National currency, current prices, millions","Annual","Public admin.; compulsory s.s.; education; human health (ISIC rev4)","2013",25227.1,
"Portugal","National currency, current prices, millions","Annual","Public admin.; compulsory s.s.; education; human health (ISIC rev4)","2012",28137,
"Portugal","National currency, current prices, millions","Annual","Public admin.; compulsory s.s.; education; human health (ISIC rev4)","2013",29272,
"Portugal","National currency, current prices, millions","Annual","Other service activities (ISIC rev4)","2012",4252.7,
"Portugal","National currency, current prices, millions","Annual","Other service activities (ISIC rev4)","2013",4270,
"Portugal","National currency, current prices, millions","Annual","Other service activities (ISIC rev4)","2012",3371.3,
"Portugal","National currency, current prices, millions","Annual","Other service activities (ISIC rev4)","2013",3358.2,
"Spain","National currency, current prices, millions","Annual","Gross domestic product (output approach)","2012",1029279,
"Spain","National currency, current prices, millions","Annual","Gross domestic product (output approach)","2013",1022988,
"Spain","National currency, current prices, millions","Annual","Gross domestic product (expenditure approach)","2012",1029279,
"Spain","National currency, current prices, millions","Annual","Gross domestic product (expenditure approach)","2013",1022988,
"Spain","National currency, current prices, millions","Annual","Taxes less subsidies on production and imports","2012",94255,
"Spain","National currency, current prices, millions","Annual","Taxes less subsidies on production and imports","2013",99121,
"Spain","National currency, current prices, millions","Annual","Taxes less subsidies on products","2012",85060,
"Spain","National currency, current prices, millions","Annual","Taxes less subsidies on products","2013",89815,
"Spain","National currency, current prices, millions","Annual","Statistical discrepancy","2012",0,
"Spain","National currency, current prices, millions","Annual","Statistical discrepancy","2013",0,
"Spain","National currency, current prices, millions","Annual","Statistical discrepancy","2012",0,
"Spain","National currency, current prices, millions","Annual","Statistical discrepancy","2013",0,
"Spain","National currency, current prices, millions","Annual","Statistical discrepancy","2012",0,
"Spain","National currency, current prices, millions","Annual","Statistical discrepancy","2013",0,
"Spain","National currency, current prices, millions","Annual","Final consumption expenditure","2012",818312,
"Spain","National currency, current prices, millions","Annual","Final consumption expenditure","2013",811611,
"Spain","National currency, current prices, millions","Annual","Individual consumption expenditure of general government","2012",121234,
"Spain","National currency, current prices, millions","Annual","Individual consumption expenditure of general government","2013",118592,
"Spain","National currency, current prices, millions","Annual","Final consumption expenditure of households","2012",600123,
"Spain","National currency, current prices, millions","Annual","Final consumption expenditure of households","2013",595535,
"Spain","National currency, current prices, millions","Annual","Final consumption expenditure of non-profit institutions serving households","2012",10516,
"Spain","National currency, current prices, millions","Annual","Final consumption expenditure of non-profit institutions serving households","2013",10561,
"Spain","National currency, current prices, millions","Annual","Collective consumption expenditure of general government","2012",86439,
"Spain","National currency, current prices, millions","Annual","Collective consumption expenditure of general government","2013",86923,
"Spain","National currency, current prices, millions","Annual","Final consumption expenditure of general government","2012",207673,
"Spain","National currency, current prices, millions","Annual","Final consumption expenditure of general government","2013",205515,
"Spain","National currency, current prices, millions","Annual","of which: Actual individual consumption","2012",731873,
"Spain","National currency, current prices, millions","Annual","of which: Actual individual consumption","2013",724688,
"Spain","National currency, current prices, millions","Annual","Gross capital formation","2012",203302,
"Spain","National currency, current prices, millions","Annual","Gross capital formation","2013",186656,
"Spain","National currency, current prices, millions","Annual","Gross fixed capital formation","2012",197541,
"Spain","National currency, current prices, millions","Annual","Gross fixed capital formation","2013",181281,
"Spain","National currency, current prices, millions","Annual","Changes in inventories and acquisitions less disposals of valuables","2012",5761,
"Spain","National currency, current prices, millions","Annual","Changes in inventories and acquisitions less disposals of valuables","2013",5375,
"Spain","National currency, current prices, millions","Annual","Exports of goods and services","2012",336007,
"Spain","National currency, current prices, millions","Annual","Exports of goods and services","2013",349120,
"Spain","National currency, current prices, millions","Annual","Exports of goods","2012",229841,
"Spain","National currency, current prices, millions","Annual","Exports of goods","2013",241684,
"Spain","National currency, current prices, millions","Annual","Exports of services","2012",106166,
"Spain","National currency, current prices, millions","Annual","Exports of services","2013",107436,
"Spain","National currency, current prices, millions","Annual","Imports of goods and services","2012",328342,
"Spain","National currency, current prices, millions","Annual","Imports of goods and services","2013",324399,
"Spain","National currency, current prices, millions","Annual","Imports of goods","2012",255650,
"Spain","National currency, current prices, millions","Annual","Imports of goods","2013",253550,
"Spain","National currency, current prices, millions","Annual","Imports of services","2012",72692,
"Spain","National currency, current prices, millions","Annual","Imports of services","2013",70849,
"Spain","National currency, current prices, millions","Annual","Gross domestic product (income approach)","2012",1029279,
"Spain","National currency, current prices, millions","Annual","Gross domestic product (income approach)","2013",1022988,
"Spain","National currency, current prices, millions","Annual","External balance of goods and services","2012",7665,
"Spain","National currency, current prices, millions","Annual","External balance of goods and services","2013",24721,
"Spain","National currency, current prices, millions","Annual","Gross value added at basic prices, total activity","2012",944219,
"Spain","National currency, current prices, millions","Annual","Gross value added at basic prices, total activity","2013",933173,
"Spain","National currency, current prices, millions","Annual","Gross operating surplus and gross mixed income","2012",452417,
"Spain","National currency, current prices, millions","Annual","Gross operating surplus and gross mixed income","2013",458089,
"Spain","National currency, current prices, millions","Annual","Compensation of employees","2012",482607,
"Spain","National currency, current prices, millions","Annual","Compensation of employees","2013",465778,
"Spain","National currency, current prices, millions","Annual","Households and Non-profit institutions serving households","2012",610639,
"Spain","National currency, current prices, millions","Annual","Households and Non-profit institutions serving households","2013",606096,
"Spain","National currency, current prices, millions","Annual","Dwellings","2012",53844,
"Spain","National currency, current prices, millions","Annual","Dwellings","2013",45374,
"Spain","National currency, current prices, millions","Annual","Other buildings and structures","2012",64754,
"Spain","National currency, current prices, millions","Annual","Other buildings and structures","2013",57442,
"Spain","National currency, current prices, millions","Annual","Transport equipment","2012",16685,
"Spain","National currency, current prices, millions","Annual","Transport equipment","2013",17828,
"Spain","National currency, current prices, millions","Annual","Other machinery and equipment","2012",43976,
"Spain","National currency, current prices, millions","Annual","Other machinery and equipment","2013",42216,
"Spain","National currency, current prices, millions","Annual","Cultivated assets","2012",1085,
"Spain","National currency, current prices, millions","Annual","Cultivated assets","2013",1133,
"Spain","National currency, current prices, millions","Annual","Intangible fixed assets","2012",17197,
"Spain","National currency, current prices, millions","Annual","Intangible fixed assets","2013",17288,
"Spain","National currency, current prices, millions","Annual","Domestic demand","2012",1021614,
"Spain","National currency, current prices, millions","Annual","Domestic demand","2013",998267,
"Spain","National currency, current prices, millions","Annual","of which: Manufacturing (ISIC rev4)","2012",68447,
"Spain","National currency, current prices, millions","Annual","of which: Manufacturing (ISIC rev4)","2013",65792,
"Spain","National currency, current prices, millions","Annual","of which: Manufacturing (ISIC rev4)","2012",125912,
"Spain","National currency, current prices, millions","Annual","of which: Manufacturing (ISIC rev4)","2013",125132,
"Spain","National currency, current prices, millions","Annual","Agriculture, forestry and fishing (ISIC rev4)","2012",4679,
"Spain","National currency, current prices, millions","Annual","Agriculture, forestry and fishing (ISIC rev4)","2013",4583,
"Spain","National currency, current prices, millions","Annual","Agriculture, forestry and fishing (ISIC rev4)","2012",23215,
"Spain","National currency, current prices, millions","Annual","Agriculture, forestry and fishing (ISIC rev4)","2013",24109,
"Spain","National currency, current prices, millions","Annual","Industry, including energy (ISIC rev4)","2012",163877,
"Spain","National currency, current prices, millions","Annual","Industry, including energy (ISIC rev4)","2013",162961,
"Spain","National currency, current prices, millions","Annual","Industry, including energy (ISIC rev4)","2012",78425,
"Spain","National currency, current prices, millions","Annual","Industry, including energy (ISIC rev4)","2013",75174,
"Spain","National currency, current prices, millions","Annual","Construction (ISIC rev4)","2012",32992,
"Spain","National currency, current prices, millions","Annual","Construction (ISIC rev4)","2013",28774,
"Spain","National currency, current prices, millions","Annual","Construction (ISIC rev4)","2012",80827,
"Spain","National currency, current prices, millions","Annual","Construction (ISIC rev4)","2013",73203,
"Spain","National currency, current prices, millions","Annual","Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)","2012",238586,
"Spain","National currency, current prices, millions","Annual","Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)","2013",241717,
"Spain","National currency, current prices, millions","Annual","Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)","2012",114550,
"Spain","National currency, current prices, millions","Annual","Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)","2013",110259,
"Spain","National currency, current prices, millions","Annual","Information and communication (ISIC rev4)","2012",20705,
"Spain","National currency, current prices, millions","Annual","Information and communication (ISIC rev4)","2013",20130,
"Spain","National currency, current prices, millions","Annual","Information and communication (ISIC rev4)","2012",40069,
"Spain","National currency, current prices, millions","Annual","Information and communication (ISIC rev4)","2013",37760,
"Spain","National currency, current prices, millions","Annual","Financial and insurance activities (ISIC rev4)","2012",41394,
"Spain","National currency, current prices, millions","Annual","Financial and insurance activities (ISIC rev4)","2013",36217,
"Spain","National currency, current prices, millions","Annual","Financial and insurance activities (ISIC rev4)","2012",21097,
"Spain","National currency, current prices, millions","Annual","Financial and insurance activities (ISIC rev4)","2013",21167,
"Spain","National currency, current prices, millions","Annual","Real estate activities (ISIC rev4)","2012",3817,
"Spain","National currency, current prices, millions","Annual","Real estate activities (ISIC rev4)","2013",3390,
"Spain","National currency, current prices, millions","Annual","Real estate activities (ISIC rev4)","2012",77742,
"Spain","National currency, current prices, millions","Annual","Real estate activities (ISIC rev4)","2013",78000,
"Spain","National currency, current prices, millions","Annual","Prof., scientific, techn.; admin., support serv. activities (ISIC rev4)","2012",72614,
"Spain","National currency, current prices, millions","Annual","Prof., scientific, techn.; admin., support serv. activities (ISIC rev4)","2013",72530,
"Spain","National currency, current prices, millions","Annual","Prof., scientific, techn.; admin., support serv. activities (ISIC rev4)","2012",46902,
"Spain","National currency, current prices, millions","Annual","Prof., scientific, techn.; admin., support serv. activities (ISIC rev4)","2013",44376,
"Spain","National currency, current prices, millions","Annual","Public admin.; compulsory s.s.; education; human health (ISIC rev4)","2012",133188,
"Spain","National currency, current prices, millions","Annual","Public admin.; compulsory s.s.; education; human health (ISIC rev4)","2013",131898,
"Spain","National currency, current prices, millions","Annual","Public admin.; compulsory s.s.; education; human health (ISIC rev4)","2012",170478,
"Spain","National currency, current prices, millions","Annual","Public admin.; compulsory s.s.; education; human health (ISIC rev4)","2013",170781,
"Spain","National currency, current prices, millions","Annual","Other service activities (ISIC rev4)","2012",35417,
"Spain","National currency, current prices, millions","Annual","Other service activities (ISIC rev4)","2013",35895,
"Spain","National currency, current prices, millions","Annual","Other service activities (ISIC rev4)","2012",26252,
"Spain","National currency, current prices, millions","Annual","Other service activities (ISIC rev4)","2013",26027,
"Switzerland","National currency, current prices, millions","Annual","Gross domestic product (output approach)","2012",591850.949839,
"Switzerland","National currency, current prices, millions","Annual","Gross domestic product (expenditure approach)","2012",591850.949839,
"Switzerland","National currency, current prices, millions","Annual","Gross domestic product (expenditure approach)","2013",603212,E
"Switzerland","National currency, current prices, millions","Annual","Taxes less subsidies on production and imports","2012",18039.020099,
"Switzerland","National currency, current prices, millions","Annual","Taxes less subsidies on products","2012",31719.948335,
"Switzerland","National currency, current prices, millions","Annual","Final consumption expenditure","2012",405905.061186,
"Switzerland","National currency, current prices, millions","Annual","Final consumption expenditure of households","2012",328168.687881,
"Switzerland","National currency, current prices, millions","Annual","Final consumption expenditure of non-profit institutions serving households","2012",11616.329102,
"Switzerland","National currency, current prices, millions","Annual","Final consumption expenditure of general government","2012",66120.044203,
"Switzerland","National currency, current prices, millions","Annual","of which: Actual individual consumption","2012",377222,E
"Switzerland","National currency, current prices, millions","Annual","Gross capital formation","2012",124192.348594,
"Switzerland","National currency, current prices, millions","Annual","Gross fixed capital formation","2012",118999.522523,
"Switzerland","National currency, current prices, millions","Annual","Changes in inventories and acquisitions less disposals of valuables","2012",5192.826072,
"Switzerland","National currency, current prices, millions","Annual","Exports of goods and services","2012",309528.801165,
"Switzerland","National currency, current prices, millions","Annual","Exports of goods","2012",212386.071538,
"Switzerland","National currency, current prices, millions","Annual","Exports of services","2012",97142.729627,
"Switzerland","National currency, current prices, millions","Annual","Imports of goods and services","2012",247775.261106,
"Switzerland","National currency, current prices, millions","Annual","Imports of goods","2012",196879.181634,
"Switzerland","National currency, current prices, millions","Annual","Imports of services","2012",50896.079471,
"Switzerland","National currency, current prices, millions","Annual","Gross domestic product (income approach)","2012",591850.949839,
"Switzerland","National currency, current prices, millions","Annual","External balance of goods and services","2012",61753.540059,
"Switzerland","National currency, current prices, millions","Annual","Gross value added at basic prices, total activity","2012",560131.001504,
"Switzerland","National currency, current prices, millions","Annual","Gross operating surplus and gross mixed income","2012",211499.221664,
"Switzerland","National currency, current prices, millions","Annual","Compensation of employees","2012",362312.708076,
"Switzerland","National currency, current prices, millions","Annual","Households and Non-profit institutions serving households","2012",339785.016983,
"Switzerland","National currency, current prices, millions","Annual","Domestic demand","2012",530097.40978,
"Switzerland","National currency, current prices, millions","Annual","of which: Manufacturing (ISIC rev4)","2012",106409.997323,
"Switzerland","National currency, current prices, millions","Annual","Agriculture, forestry and fishing (ISIC rev4)","2012",4096.123435,
"Switzerland","National currency, current prices, millions","Annual","Industry, including energy (ISIC rev4)","2012",119206.467326,
"Switzerland","National currency, current prices, millions","Annual","Construction (ISIC rev4)","2012",30657.691178,
"Switzerland","National currency, current prices, millions","Annual","Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)","2012",123612.583696,
"Switzerland","National currency, current prices, millions","Annual","Information and communication (ISIC rev4)","2012",22012.784083,
"Switzerland","National currency, current prices, millions","Annual","Financial and insurance activities (ISIC rev4)","2012",62260.558332,
"Switzerland","National currency, current prices, millions","Annual","Real estate activities (ISIC rev4)","2012",4544,E
"Switzerland","National currency, current prices, millions","Annual","Prof., scientific, techn.; admin., support serv. activities (ISIC rev4)","2012",46757,E
"Switzerland","National currency, current prices, millions","Annual","Public admin.; compulsory s.s.; education; human health (ISIC rev4)","2012",97918.803668,
"Switzerland","National currency, current prices, millions","Annual","Other service activities (ISIC rev4)","2012",49064.791379,
"United Kingdom","National currency, current prices, millions","Annual","Gross domestic product (output approach)","2012",1558415,
"United Kingdom","National currency, current prices, millions","Annual","Gross domestic product (output approach)","2013",1613391,
"United Kingdom","National currency, current prices, millions","Annual","Gross domestic product (expenditure approach)","2012",1558415,
"United Kingdom","National currency, current prices, millions","Annual","Gross domestic product (expenditure approach)","2013",1613391,
"United Kingdom","National currency, current prices, millions","Annual","Taxes less subsidies on production and imports","2012",200620,
"United Kingdom","National currency, current prices, millions","Annual","Taxes less subsidies on production and imports","2013",210200,
"United Kingdom","National currency, current prices, millions","Annual","Taxes less subsidies on products","2012",179433,
"United Kingdom","National currency, current prices, millions","Annual","Taxes less subsidies on products","2013",188099,
"United Kingdom","National currency, current prices, millions","Annual","Statistical discrepancy","2012",0,
"United Kingdom","National currency, current prices, millions","Annual","Statistical discrepancy","2013",0,
"United Kingdom","National currency, current prices, millions","Annual","Statistical discrepancy","2012",-5707,
"United Kingdom","National currency, current prices, millions","Annual","Statistical discrepancy","2013",-10329,
"United Kingdom","National currency, current prices, millions","Annual","Statistical discrepancy","2012",2251,
"United Kingdom","National currency, current prices, millions","Annual","Statistical discrepancy","2013",3203,
"United Kingdom","National currency, current prices, millions","Annual","Final consumption expenditure","2012",1365495,
"United Kingdom","National currency, current prices, millions","Annual","Final consumption expenditure","2013",1414973,
"United Kingdom","National currency, current prices, millions","Annual","Individual consumption expenditure of general government","2012",215554,
"United Kingdom","National currency, current prices, millions","Annual","Individual consumption expenditure of general government","2013",217315,
"United Kingdom","National currency, current prices, millions","Annual","Final consumption expenditure of households","2012",986255,
"United Kingdom","National currency, current prices, millions","Annual","Final consumption expenditure of households","2013",1031734,
"United Kingdom","National currency, current prices, millions","Annual","Final consumption expenditure of non-profit institutions serving households","2012",38596,
"United Kingdom","National currency, current prices, millions","Annual","Final consumption expenditure of non-profit institutions serving households","2013",39137,
"United Kingdom","National currency, current prices, millions","Annual","Collective consumption expenditure of general government","2012",125090,
"United Kingdom","National currency, current prices, millions","Annual","Collective consumption expenditure of general government","2013",126787,
"United Kingdom","National currency, current prices, millions","Annual","Final consumption expenditure of general government","2012",340644,
"United Kingdom","National currency, current prices, millions","Annual","Final consumption expenditure of general government","2013",344102,
"United Kingdom","National currency, current prices, millions","Annual","of which: Actual individual consumption","2012",1240405,
"United Kingdom","National currency, current prices, millions","Annual","of which: Actual individual consumption","2013",1288186,
"United Kingdom","National currency, current prices, millions","Annual","Gross capital formation","2012",232009,
"United Kingdom","National currency, current prices, millions","Annual","Gross capital formation","2013",235342,
"United Kingdom","National currency, current prices, millions","Annual","Gross fixed capital formation","2012",225339,
"United Kingdom","National currency, current prices, millions","Annual","Gross fixed capital formation","2013",225912,
"United Kingdom","National currency, current prices, millions","Annual","Changes in inventories and acquisitions less disposals of valuables","2012",6670,
"United Kingdom","National currency, current prices, millions","Annual","Changes in inventories and acquisitions less disposals of valuables","2013",9430,
"United Kingdom","National currency, current prices, millions","Annual","Exports of goods and services","2012",495284,
"United Kingdom","National currency, current prices, millions","Annual","Exports of goods and services","2013",506470,
"United Kingdom","National currency, current prices, millions","Annual","Exports of goods","2012",300457,
"United Kingdom","National currency, current prices, millions","Annual","Exports of goods","2013",304728,
"United Kingdom","National currency, current prices, millions","Annual","Exports of services","2012",194827,
"United Kingdom","National currency, current prices, millions","Annual","Exports of services","2013",201742,
"United Kingdom","National currency, current prices, millions","Annual","Imports of goods and services","2012",528665,
"United Kingdom","National currency, current prices, millions","Annual","Imports of goods and services","2013",533066,
"United Kingdom","National currency, current prices, millions","Annual","Imports of goods","2012",409157,
"United Kingdom","National currency, current prices, millions","Annual","Imports of goods","2013",412525,
"United Kingdom","National currency, current prices, millions","Annual","Imports of services","2012",119508,
"United Kingdom","National currency, current prices, millions","Annual","Imports of services","2013",120541,
"United Kingdom","National currency, current prices, millions","Annual","Gross domestic product (income approach)","2012",1558415,
"United Kingdom","National currency, current prices, millions","Annual","Gross domestic product (income approach)","2013",1613391,
"United Kingdom","National currency, current prices, millions","Annual","External balance of goods and services","2012",-33381,
"United Kingdom","National currency, current prices, millions","Annual","External balance of goods and services","2013",-26596,
"United Kingdom","National currency, current prices, millions","Annual","Gross value added at basic prices, total activity","2012",1378982,
"United Kingdom","National currency, current prices, millions","Annual","Gross value added at basic prices, total activity","2013",1425292,
"United Kingdom","National currency, current prices, millions","Annual","Gross operating surplus and gross mixed income","2012",515404,
"United Kingdom","National currency, current prices, millions","Annual","Gross operating surplus and gross mixed income","2013",532999,
"United Kingdom","National currency, current prices, millions","Annual","Compensation of employees","2012",840140,
"United Kingdom","National currency, current prices, millions","Annual","Compensation of employees","2013",866989,
"United Kingdom","National currency, current prices, millions","Annual","Households and Non-profit institutions serving households","2012",1024851,
"United Kingdom","National currency, current prices, millions","Annual","Households and Non-profit institutions serving households","2013",1070871,
"United Kingdom","National currency, current prices, millions","Annual","Dwellings","2012",51692,
"United Kingdom","National currency, current prices, millions","Annual","Dwellings","2013",55803,
"United Kingdom","National currency, current prices, millions","Annual","Other buildings and structures","2012",86077,
"United Kingdom","National currency, current prices, millions","Annual","Other buildings and structures","2013",84540,
"United Kingdom","National currency, current prices, millions","Annual","Transport equipment","2012",6324,
"United Kingdom","National currency, current prices, millions","Annual","Transport equipment","2013",7429,
"United Kingdom","National currency, current prices, millions","Annual","Other machinery and equipment","2012",41801,
"United Kingdom","National currency, current prices, millions","Annual","Other machinery and equipment","2013",41065,
"United Kingdom","National currency, current prices, millions","Annual","Cultivated assets","2012",2821,
"United Kingdom","National currency, current prices, millions","Annual","Cultivated assets","2013",2921,
"United Kingdom","National currency, current prices, millions","Annual","Intangible fixed assets","2012",36624,
"United Kingdom","National currency, current prices, millions","Annual","Intangible fixed assets","2013",34155,
"United Kingdom","National currency, current prices, millions","Annual","Domestic demand","2012",1597504,
"United Kingdom","National currency, current prices, millions","Annual","Domestic demand","2013",1650315,
"United Kingdom","National currency, current prices, millions","Annual","of which: Manufacturing (ISIC rev4)","2012",105113,
"United Kingdom","National currency, current prices, millions","Annual","of which: Manufacturing (ISIC rev4)","2013",108472,
"United Kingdom","National currency, current prices, millions","Annual","of which: Manufacturing (ISIC rev4)","2012",139077,
"United Kingdom","National currency, current prices, millions","Annual","of which: Manufacturing (ISIC rev4)","2013",140109,
"United Kingdom","National currency, current prices, millions","Annual","Agriculture, forestry and fishing (ISIC rev4)","2012",4784,
"United Kingdom","National currency, current prices, millions","Annual","Agriculture, forestry and fishing (ISIC rev4)","2013",4939,
"United Kingdom","National currency, current prices, millions","Annual","Agriculture, forestry and fishing (ISIC rev4)","2012",9060,
"United Kingdom","National currency, current prices, millions","Annual","Agriculture, forestry and fishing (ISIC rev4)","2013",9162,
"United Kingdom","National currency, current prices, millions","Annual","Industry, including energy (ISIC rev4)","2012",201870,
