,assets as % of GDP,assets per capita [US$ millions],absolute assets [US$ billions]
France,358,149368,9667
Germany,346,142119,11625
Ireland,762,352392,1577
Italy,226,81920,4931
Japan,192,91154,11651
Portugal,300,62937,664
Russia,71,8479,1212
Spain,298,97487,4476
Switzerland,483,381244,3017
United Kingdom,535,200602,12587
US,84,40468,12610
